Euclidean | Truncating | Calculation | BTERN Quot | BTERN rem | INTEGER Quot | INTEGER rem
etrue | ttrue | -10 / -10 | 1 | 0 | 1 | 0
efalse | tfalse | -10 / -9 | 0 | -10 | 1 | -1
efalse | tfalse | -10 / -8 | 0 | -10 | 1 | -2
efalse | tfalse | -10 / -7 | 0 | -10 | 1 | -3
etrue | tfalse | -10 / -6 | 2 | 2 | 1 | -4
etrue | ttrue | -10 / -5 | 2 | 0 | 2 | 0
efalse | tfalse | -10 / -4 | 1 | -6 | 2 | -2
efalse | tfalse | -10 / -3 | 2 | -4 | 3 | -1
etrue | ttrue | -10 / -2 | 5 | 0 | 5 | 0
etrue | ttrue | -10 / -1 | 10 | 0 | 10 | 0
etrue | tfalse | -9 / -10 | 1 | 1 | 0 | -9
etrue | ttrue | -9 / -9 | 1 | 0 | 1 | 0
efalse | tfalse | -9 / -8 | 0 | -9 | 1 | -1
efalse | tfalse | -9 / -7 | 0 | -9 | 1 | -2
efalse | tfalse | -9 / -6 | 0 | -9 | 1 | -3
etrue | tfalse | -9 / -5 | 2 | 1 | 1 | -4
efalse | tfalse | -9 / -4 | 1 | -5 | 2 | -1
etrue | ttrue | -9 / -3 | 3 | 0 | 3 | 0
efalse | tfalse | -9 / -2 | 3 | -3 | 4 | -1
etrue | ttrue | -9 / -1 | 9 | 0 | 9 | 0
etrue | tfalse | -8 / -10 | 1 | 2 | 0 | -8
etrue | tfalse | -8 / -9 | 1 | 1 | 0 | -8
etrue | ttrue | -8 / -8 | 1 | 0 | 1 | 0
efalse | tfalse | -8 / -7 | 0 | -8 | 1 | -1
efalse | tfalse | -8 / -6 | 0 | -8 | 1 | -2
etrue | tfalse | -8 / -5 | 2 | 2 | 1 | -3
etrue | ttrue | -8 / -4 | 2 | 0 | 2 | 0
etrue | tfalse | -8 / -3 | 3 | 1 | 2 | -2
etrue | ttrue | -8 / -2 | 4 | 0 | 4 | 0
etrue | ttrue | -8 / -1 | 8 | 0 | 8 | 0
etrue | tfalse | -7 / -10 | 1 | 3 | 0 | -7
etrue | tfalse | -7 / -9 | 1 | 2 | 0 | -7
etrue | tfalse | -7 / -8 | 1 | 1 | 0 | -7
etrue | ttrue | -7 / -7 | 1 | 0 | 1 | 0
efalse | tfalse | -7 / -6 | 0 | -7 | 1 | -1
efalse | tfalse | -7 / -5 | 0 | -7 | 1 | -2
etrue | tfalse | -7 / -4 | 2 | 1 | 1 | -3
efalse | tfalse | -7 / -3 | 1 | -4 | 2 | -1
efalse | tfalse | -7 / -2 | 2 | -3 | 3 | -1
etrue | ttrue | -7 / -1 | 7 | 0 | 7 | 0
etrue | tfalse | -6 / -10 | 1 | 4 | 0 | -6
etrue | tfalse | -6 / -9 | 1 | 3 | 0 | -6
etrue | tfalse | -6 / -8 | 1 | 2 | 0 | -6
etrue | tfalse | -6 / -7 | 1 | 1 | 0 | -6
etrue | ttrue | -6 / -6 | 1 | 0 | 1 | 0
efalse | tfalse | -6 / -5 | 0 | -6 | 1 | -1
efalse | tfalse | -6 / -4 | 0 | -6 | 1 | -2
etrue | ttrue | -6 / -3 | 2 | 0 | 2 | 0
etrue | ttrue | -6 / -2 | 3 | 0 | 3 | 0
etrue | ttrue | -6 / -1 | 6 | 0 | 6 | 0
efalse | tfalse | -5 / -10 | -1 | -15 | 0 | -5
etrue | tfalse | -5 / -9 | 1 | 4 | 0 | -5
etrue | tfalse | -5 / -8 | 1 | 3 | 0 | -5
etrue | tfalse | -5 / -7 | 1 | 2 | 0 | -5
etrue | tfalse | -5 / -6 | 1 | 1 | 0 | -5
etrue | ttrue | -5 / -5 | 1 | 0 | 1 | 0
efalse | tfalse | -5 / -4 | 0 | -5 | 1 | -1
etrue | tfalse | -5 / -3 | 2 | 1 | 1 | -2
efalse | tfalse | -5 / -2 | 1 | -3 | 2 | -1
etrue | ttrue | -5 / -1 | 5 | 0 | 5 | 0
efalse | tfalse | -4 / -10 | -1 | -14 | 0 | -4
efalse | tfalse | -4 / -9 | -1 | -13 | 0 | -4
efalse | tfalse | -4 / -8 | -1 | -12 | 0 | -4
etrue | tfalse | -4 / -7 | 1 | 3 | 0 | -4
etrue | tfalse | -4 / -6 | 1 | 2 | 0 | -4
etrue | tfalse | -4 / -5 | 1 | 1 | 0 | -4
etrue | ttrue | -4 / -4 | 1 | 0 | 1 | 0
efalse | tfalse | -4 / -3 | 0 | -4 | 1 | -1
