Euclidean | Truncating | Calculation | BTERN Quot | BTERN rem | INTEGER Quot | INTEGER rem
etrue | ttrue | -10 / 2 | -5 | 0 | -5 | 0
etrue | tfalse | -9 / 2 | -5 | 1 | -4 | -1
etrue | ttrue | -8 / 2 | -4 | 0 | -4 | 0
etrue | tfalse | -7 / 2 | -4 | 1 | -3 | -1
etrue | ttrue | -6 / 2 | -3 | 0 | -3 | 0
etrue | tfalse | -5 / 2 | -3 | 1 | -2 | -1
etrue | ttrue | -4 / 2 | -2 | 0 | -2 | 0
etrue | tfalse | -3 / 2 | -2 | 1 | -1 | -1
etrue | ttrue | -2 / 2 | -1 | 0 | -1 | 0
etrue | tfalse | -1 / 2 | -1 | 1 | 0 | -1
etrue | ttrue | 0 / 2 | 0 | 0 | 0 | 0
efalse | tfalse | 1 / 2 | 1 | -1 | 0 | 1
etrue | ttrue | 2 / 2 | 1 | 0 | 1 | 0
efalse | tfalse | 3 / 2 | 2 | -1 | 1 | 1
etrue | ttrue | 4 / 2 | 2 | 0 | 2 | 0
efalse | tfalse | 5 / 2 | 3 | -1 | 2 | 1
etrue | ttrue | 6 / 2 | 3 | 0 | 3 | 0
efalse | tfalse | 7 / 2 | 4 | -1 | 3 | 1
etrue | ttrue | 8 / 2 | 4 | 0 | 4 | 0
efalse | tfalse | 9 / 2 | 5 | -1 | 4 | 1
etrue | ttrue | 10 / 2 | 5 | 0 | 5 | 0
etrue | tfalse | -10 / 4 | -3 | 2 | -2 | -2
efalse | ttrue | -9 / 4 | -2 | -1 | -2 | -1
etrue | ttrue | -8 / 4 | -2 | 0 | -2 | 0
etrue | tfalse | -7 / 4 | -2 | 1 | -1 | -3
etrue | tfalse | -6 / 4 | -2 | 2 | -1 | -2
efalse | ttrue | -5 / 4 | -1 | -1 | -1 | -1
etrue | ttrue | -4 / 4 | -1 | 0 | -1 | 0
etrue | tfalse | -3 / 4 | -1 | 1 | 0 | -3
etrue | tfalse | -2 / 4 | -1 | 2 | 0 | -2
efalse | ttrue | -1 / 4 | 0 | -1 | 0 | -1
etrue | ttrue | 0 / 4 | 0 | 0 | 0 | 0
etrue | ttrue | 1 / 4 | 0 | 1 | 0 | 1
efalse | tfalse | 2 / 4 | 1 | -2 | 0 | 2
efalse | tfalse | 3 / 4 | 1 | -1 | 0 | 3
etrue | ttrue | 4 / 4 | 1 | 0 | 1 | 0
etrue | ttrue | 5 / 4 | 1 | 1 | 1 | 1
efalse | tfalse | 6 / 4 | 2 | -2 | 1 | 2
efalse | tfalse | 7 / 4 | 2 | -1 | 1 | 3
etrue | ttrue | 8 / 4 | 2 | 0 | 2 | 0
etrue | ttrue | 9 / 4 | 2 | 1 | 2 | 1
efalse | tfalse | 10 / 4 | 3 | -2 | 2 | 2Euclidean | Truncating | Calculation | BTERN Quot | BTERN rem | INTEGER Quot | INTEGER rem
etrue | ttrue | -10 / 2 | -5 | 0 | -5 | 0
etrue | tfalse | -9 / 2 | -5 | 1 | -4 | -1
etrue | ttrue | -8 / 2 | -4 | 0 | -4 | 0
etrue | tfalse | -7 / 2 | -4 | 1 | -3 | -1
etrue | ttrue | -6 / 2 | -3 | 0 | -3 | 0
etrue | tfalse | -5 / 2 | -3 | 1 | -2 | -1
etrue | ttrue | -4 / 2 | -2 | 0 | -2 | 0
etrue | tfalse | -3 / 2 | -2 | 1 | -1 | -1
etrue | ttrue | -2 / 2 | -1 | 0 | -1 | 0
etrue | tfalse | -1 / 2 | -1 | 1 | 0 | -1
etrue | ttrue | 0 / 2 | 0 | 0 | 0 | 0
efalse | tfalse | 1 / 2 | 1 | -1 | 0 | 1
etrue | ttrue | 2 / 2 | 1 | 0 | 1 | 0
efalse | tfalse | 3 / 2 | 2 | -1 | 1 | 1
etrue | ttrue | 4 / 2 | 2 | 0 | 2 | 0
efalse | tfalse | 5 / 2 | 3 | -1 | 2 | 1
etrue | ttrue | 6 / 2 | 3 | 0 | 3 | 0
efalse | tfalse | 7 / 2 | 4 | -1 | 3 | 1
etrue | ttrue | 8 / 2 | 4 | 0 | 4 | 0
efalse | tfalse | 9 / 2 | 5 | -1 | 4 | 1
